gender,race_ethnicity,parental_education,lunch,test_prep,reading_score,writing_score,math_score,grade
male,group B,associate's,standard,completed,47,84,62,C
female,group B,bachelor's,standard,completed,53,75,49,D
female,group E,bachelor's,free/reduced,none,75,53,27,F
female,group B,high school,standard,completed,52,69,48,D
male,group B,high school,standard,none,86,84,64,C
male,group D,high school,free/reduced,none,68,51,53,D
male,group C,some college,standard,completed,71,79,69,C
female,group D,some college,standard,none,65,100,53,D
female,group A,associate's,standard,completed,81,85,68,C
female,group C,some high school,standard,none,81,91,66,C
male,group A,some high school,free/reduced,completed,75,73,58,C
female,group A,some college,free/reduced,none,78,84,46,D
female,group E,associate's,free/reduced,completed,66,59,47,D
male,group B,high school,standard,none,78,81,57,C
male,group C,associate's,standard,completed,64,79,56,C
male,group C,high school,free/reduced,completed,70,74,57,C
male,group C,master's,standard,none,65,89,64,C
female,group D,master's,standard,completed,63,61,60,C
male,group A,high school,standard,none,59,67,51,D
male,group C,high school,standard,completed,77,71,62,C
female,group E,some college,standard,none,89,54,59,C
male,group C,high school,free/reduced,completed,87,73,63,C
male,group E,associate's,free/reduced,completed,51,44,36,F
male,group A,bachelor's,standard,none,89,85,63,C
male,group C,associate's,standard,none,65,70,49,D
female,group B,bachelor's,standard,none,79,62,54,D
male,group D,some college,free/reduced,completed,56,57,57,C
female,group E,high school,standard,none,72,66,55,C
female,group B,bachelor's,free/reduced,none,74,80,47,D
male,group C,some college,standard,completed,47,78,51,D
female,group B,associate's,standard,none,79,59,50,D
male,group C,high school,standard,completed,90,57,77,B
male,group C,some high school,free/reduced,none,67,79,46,D
female,group E,doctorate,standard,none,90,59,63,C
female,group C,high school,standard,completed,67,70,58,C
female,group C,doctorate,standard,none,82,71,60,C
male,group B,doctorate,free/reduced,none,36,74,38,F
male,group B,bachelor's,free/reduced,completed,100,82,67,C
female,group B,associate's,standard,none,92,51,51,D
male,group B,associate's,free/reduced,completed,65,41,50,D
male,group D,master's,standard,completed,40,61,52,D
female,group C,high school,standard,none,74,97,71,B
male,group C,some college,standard,none,48,100,61,C
female,group B,associate's,standard,completed,76,97,77,B
male,group D,some college,free/reduced,none,76,67,59,C
female,group D,some college,free/reduced,none,55,43,29,F
male,group A,high school,standard,completed,86,34,57,C
female,group D,associate's,standard,none,82,60,46,D
female,group C,master's,free/reduced,completed,84,67,53,D
male,group B,high school,free/reduced,none,70,89,46,D
female,group C,master's,standard,none,48,83,58,C
female,group C,associate's,free/reduced,none,84,73,37,F
female,group B,bachelor's,standard,completed,65,56,51,D
female,group E,associate's,standard,completed,49,55,29,F
female,group D,bachelor's,free/reduced,completed,90,73,58,C
female,group C,some high school,standard,none,100,80,67,C
male,group C,bachelor's,standard,none,69,75,63,C
male,group C,some high school,standard,none,100,54,61,C
male,group C,master's,free/reduced,none,71,79,45,D
male,group C,doctorate,free/reduced,none,64,76,52,D
male,group A,high school,standard,completed,60,53,51,D
male,group C,high school,standard,none,94,58,59,C
female,group D,bachelor's,standard,completed,58,80,53,D
male,group C,high school,standard,none,81,66,50,D
male,group A,master's,standard,completed,61,93,62,C
female,group D,high school,free/reduced,none,63,77,46,D
male,group B,high school,standard,none,85,62,57,C
female,group B,doctorate,standard,none,64,69,60,C
male,group B,associate's,standard,none,63,70,53,D
female,group C,bachelor's,standard,none,86,59,39,F
female,group D,high school,free/reduced,none,93,56,51,D
male,group C,associate's,standard,none,79,80,52,D
male,group B,associate's,standard,completed,60,82,57,C
female,group D,associate's,standard,completed,62,79,57,C
female,group D,associate's,standard,completed,71,92,67,C
female,group D,associate's,standard,none,74,61,43,D
female,group B,some college,standard,completed,55,95,67,C
male,group C,high school,standard,none,80,56,43,D
male,group E,bachelor's,standard,none,71,54,50,D
